county_name,year,avg_summer_tmax_f,max_summer_tmax_f,p95_tmax_f,p99_tmax_f,heatwave_days,station_day_count_tmax,station_count_tmax,avg_summer_tmin_f,max_summer_tmin_f,p95_tmin_f,hot_nights,station_day_count_tmin,station_count_tmin,max_consecutive_hot_days,state,county,county_fips,name,total_population,median_household_income,poverty_population,population_65_plus,pct_65_plus,pct_poverty,occupied_housing_units,renter_occupied_units,pct_renter_occupied,pct_white_alone,pct_black_alone,pct_asian_alone,heat_ed_rate,pandemic_year,tree_canopy_pct
El Dorado,2022,80.82435913312693,116.96,100.94,105.98,264,1615,14,52.59849033063007,87.98,71.06,30,1603,14,1,6,17,6017,"El Dorado County, California",191713.0,99246.0,16364.0,42605.0,22.223323405298544,8.535675723607685,75190.0,17955.0,23.87950525335816,82.45815359417462,0.7328663157949644,5.18744164454158,33.87,0.0,33.246121273630486
El Dorado,2023,75.36750178954902,109.94,96.08,104.0,104,1397,12,48.51777618364419,77.0,66.02,3,1394,12,0,6,17,6017,"El Dorado County, California",192299.0,106190.0,15754.0,43808.0,22.78118970977488,8.192450298753503,75719.0,17881.0,23.614944729856443,79.89225112975107,0.8549186423226329,5.242876978039408,17.31,0.0,32.82579213425856
El Dorado,2024,80.30387096774194,114.08,100.94,107.06,190,1426,12,50.8324358974359,82.04,69.98,24,1404,12,0,6,17,6017,"El Dorado County, California",192662.0,108845.0,15285.0,45254.0,23.488804227092004,7.933583166374272,76185.0,17341.0,22.76169849707948,77.87057125951148,0.8169748056181292,5.44840186440502,55.63,0.0,32.94446683597904
Fresno,2020,90.35163412127442,111.92,105.08,109.04,711,1946,17,60.85227296049256,87.98,75.92,152,1949,17,6,6,19,6019,"Fresno County, California",990204.0,57109.0,202296.0,121129.0,12.232731841115568,20.42972963146988,310097.0,143677.0,46.33292163419833,60.34857463714548,4.663887441375716,10.634374330945946,20.07,1.0,10.234116149390829
Fresno,2021,91.21473128598848,118.04,107.06,111.92,858,2084,18,62.23199613339778,89.06,78.08,242,2069,18,8,6,19,6019,"Fresno County, California",1003150.0,61276.0,198793.0,121840.0,12.14574091611424,19.816876837960425,314421.0,144386.0,45.92123299652377,54.29227932014156,4.513980959976075,10.661715595873,28.28,1.0,9.195643883924983
Fresno,2022,87.86108651911469,114.08,105.08,109.04,470,1491,13,61.46691689008043,91.94,78.98,208,1492,13,10,6,19,6019,"Fresno County, California",1008280.0,67756.0,193675.0,125708.0,12.467568532550482,19.208454000872774,318322.0,145867.0,45.82372566143716,47.98528186614829,4.46651723727536,10.719443011861784,30.51,0.0,9.177776825648184
Fresno,2023,85.25643105446119,109.94,104.0,107.96,389,1726,17,58.29710312862109,87.08000000000001,75.92,116,1726,17,11,6,19,6019,"Fresno County, California",1012152.0,71434.0,185717.0,128751.0,12.72052023806701,18.348726278266504,322163.0,143630.0,44.58302163811487,41.82138651111691,4.385902512666082,11.004770034540266,28.84,0.0,9.30279628527794
Fresno,2024,90.30581932773109,116.06,107.96,111.92,747,1904,16,60.93296529968454,89.06,78.08,212,1902,16,13,6,19,6019,"Fresno County, California",1016725.0,74201.0,182962.0,131488.0,12.932503872728615,17.99522978189776,324702.0,144331.0,44.45029596368362,35.46642405763604,4.380732253067447,11.218766136369226,46.41,0.0,9.466603117790696
Glenn,2020,92.17459016393444,109.04,105.08,107.96,269,610,5,62.28101639344262,78.98,71.96,15,610,5,9,6,21,6021,"Glenn County, California",28060.0,51682.0,4201.0,4593.0,16.368496079828937,14.971489665003563,10216.0,4246.0,41.56225528582616,80.10691375623664,0.7769066286528866,3.12544547398432,57.45,1.0,13.787047048958806
Glenn,2021,94.27852459016394,111.02,106.57399999999996,109.94,333,610,5,62.779114754098366,78.98,71.96,12,610,5,19,6,21,6021,"Glenn County, California",28675.0,56332.0,4272.0,4637.0,16.170880557977334,14.89799476896251,9753.0,3817.0,39.136675894596536,74.9642545771578,0.5858761987794247,3.473408892763732,47.52,1.0,7.614046534869757
Glenn,2022,93.15573770491804,114.98,107.06,111.83899999999996,320,610,5,61.72537704918033,82.04,71.96,12,610,5,22,6,21,6021,"Glenn County, California",28657.0,64033.0,4335.0,4835.0,16.871968454478836,15.127194053808845,9742.0,3836.0,39.37589817285978,67.52276930592875,0.3559339777366786,3.437205569319888,76.31,0.0,7.966457847968302
Glenn,2023,89.27127868852459,111.02,104.0,107.96,197,610,5,61.521475409836064,82.04,73.94,29,610,5,11,6,21,6021,"Glenn County, California",28623.0,70487.0,3511.0,4822.0,16.84659190161758,12.266359221605002,9763.0,3606.0,36.93536822697941,59.812039269119246,0.5520036334416378,2.714600146735143,47.49,0.0,9.055349207740376
Glenn,2024,93.31231527093595,116.96,106.62800000000004,111.02,295,609,5,62.73891625615764,84.91999999999999,74.94800000000001,31,609,5,16,6,21,6021,"Glenn County, California",28494.0,67139.0,4514.0,4893.0,17.17203621815119,15.84193163473012,9810.0,3808.0,38.81753312945973,55.27128518284551,0.2175896680002807,3.004141222713553,74.88,0.0,9.873083056122042
Humboldt,2020,78.26838554216867,109.94,98.96,104.0,135,1245,11,54.369489051094895,82.04,66.92,7,1233,11,1,6,23,6023,"Humboldt County, California",136101.0,49235.0,26210.0,24287.0,17.84483582045687,19.257757106854463,54120.0,23359.0,43.16149297856615,78.72903211585513,1.1447380989118376,2.9007869155994443,13.04,1.0,61.94283120454246
Humboldt,2021,78.19873273761169,109.04,98.96,104.75600000000004,144,1231,11,53.57436940602115,75.92,66.92,6,1229,11,0,6,23,6023,"Humboldt County, California",137014.0,53350.0,27116.0,24767.0,18.0762549812428,19.79067832484272,53729.0,22798.0,42.43146159429731,76.29731268337542,1.2699432174814251,3.161720700074445,10.7,1.0,61.35637734998679
Humboldt,2022,78.12663636363636,114.98,98.96,105.08,177,1320,12,54.24860876249039,80.96,66.02,11,1301,12,1,6,23,6023,"Humboldt County, California",136132.0,57881.0,26394.0,25688.0,18.869920371404227,19.38853465753828,54495.0,23530.0,43.17827323607671,74.98016630917051,1.3707284106602415,3.224076631504716,15.18,0.0,61.418675355841856
Humboldt,2023,78.25842105263158,109.94,100.04,107.06,156,1368,12,53.94856099342586,80.06,64.94,6,1369,12,2,6,23,6023,"Humboldt County, California",135418.0,61135.0,25064.0,26082.0,19.260364205644745,18.508617761302045,54878.0,23999.0,43.73154998359999,73.61798283832283,1.270879794414332,3.138430636990651,10.1,0.0,61.30624006823565
Humboldt,2024,79.7643432835821,116.96,102.02,109.58899999999991,206,1340,11,53.864295302013424,84.02,66.92,17,1341,11,4,6,23,6023,"Humboldt County, California",134541.0,61160.0,24587.0,26660.0,19.81552091927368,18.27472666324764,54922.0,23869.0,43.45981573868396,72.10590080347255,1.5883633985179235,3.074899101389168,21.04,0.0,61.23481116032042
Imperial,2020,107.78717539863324,122.0,116.96,119.18840000000002,846,878,8,78.59252847380411,100.04,89.96000000000001,618,878,8,92,6,25,6025,"Imperial County, California",180580.0,46222.0,38408.0,23306.0,12.90619116181194,21.269243548565733,45768.0,19179.0,41.9048243314106,56.65356074869864,2.6115848931221617,1.439251301362277,66.71,1.0,0.0766677576818159
Imperial,2021,106.54292275574112,120.02,116.06,118.94,929,958,8,80.50173277661796,96.98,89.06,791,958,8,115,6,25,6025,"Imperial County, California",180051.0,49078.0,35711.0,23081.0,12.819145686499937,19.833824860733905,45541.0,19149.0,42.04782503678005,48.02861411488967,2.7153417642778988,1.402380436654059,103.31,1.0,0.0761240323052065
Imperial,2022,105.84449438202248,116.06,113.0,114.98,868,890,8,81.0663452914798,96.08,89.06,763,892,8,100,6,25,6025,"Imperial County, California",179578.0,53847.0,36092.0,23671.0,13.181458753299404,20.098230295470493,47024.0,19902.0,42.32306907111262,39.45917651382686,2.5660158816781564,1.5090935415251312,103.85,0.0,0.0756647676184224
Imperial,2023,104.97005202913633,120.02,116.06,118.94,870,961,8,77.72449531737773,98.06,89.96000000000001,590,961,8,67,6,25,6025,"Imperial County, California",179319.0,56393.0,33705.0,24119.0,13.450331532074124,18.79611195690362,48844.0,21112.0,43.22332323315044,30.42566599189154,2.487187637673644,1.506811882734122,115.94,0.0,0.0756791026896313
Imperial,2024,108.9181038374718,120.92,116.06,118.94,855,886,8,80.92009049773756,96.08,90.653,712,884,8,107,6,25,6025,"Imperial County, California",180202.0,57681.0,33819.0,24701.0,13.707395034461326,18.767272283326488,49644.0,21434.0,43.17540891144952,19.819979800446166,2.205857870611869,1.5338342526720017,174.73,0.0,0.0761430940755707
Inyo,2020,97.5458904109589,129.92,120.02,124.79,511,876,8,68.95897260273972,104.0,92.84,307,876,8,59,6,27,6027,"Inyo County, California",17930.0,59296.0,1745.0,4172.0,23.26826547685443,9.73229224762967,7954.0,2784.0,35.001257229067136,76.43614054657,0.5354155047406581,1.5560513106525378,,,0.833770670852576
Inyo,2021,98.85990751445088,129.92,120.30799999999998,125.96,538,865,8,71.19734104046242,107.6,96.404,336,865,8,30,6,27,6027,"Inyo County, California",18804.0,60925.0,1989.0,4358.0,23.175920017017656,10.577536694320358,7832.0,2789.0,35.61031664964249,73.99489470325462,0.4679855349925548,1.5847691980429697,73.15,1.0,0.8306478419359306
Inyo,2022,95.0003785488959,125.06,119.48,122.9,502,951,8,68.12088421052631,102.02,95.36,310,950,8,31,6,27,6027,"Inyo County, California",18829.0,63417.0,2199.0,4487.0,23.83026183015561,11.678793350682458,7849.0,2671.0,34.029812714995536,68.93621541239577,0.961283127091189,1.720749907058261,,,0.8260274472130716
Inyo,2023,89.86747663551402,128.12,117.86,124.5884,393,963,8,64.00455958549223,102.92,91.94,260,965,8,21,6,27,6027,"Inyo County, California",18803.0,72432.0,1928.0,4594.0,24.43227144604585,10.253682922937829,7923.0,2607.0,32.90420295342673,64.6386214965697,0.967930649364463,1.81354039249056,,,0.8140682093062372
Inyo,2024,95.94930805687204,129.01999999999998,120.02,126.14,610,1055,9,67.24840607210626,102.74,96.08,333,1054,9,37,6,27,6027,"Inyo County, California",18739.0,73991.0,1997.0,4675.0,24.947969475425584,10.656918725652382,8040.0,2701.0,33.59452736318408,61.588131703932966,0.5229734777736272,1.488873472437163,,,0.8205171099108794
Kern,2020,93.6202277039848,114.98,105.08,109.94,782,1581,19,63.49954430379747,86.0,75.92,119,1580,19,17,6,29,6029,"Kern County, California",892458.0,54851.0,175902.0,97864.0,10.965670093158446,19.709835084676254,273556.0,112443.0,41.10419804354501,67.60743922963321,5.437790910048428,4.860844992145289,25.21,1.0,3.996498403748488
Kern,2021,95.84534090909092,118.94,109.04,111.92,964,1584,17,66.36059268600252,89.06,78.98,262,1586,17,30,6,29,6029,"Kern County, California",905644.0,58824.0,169289.0,99020.0,10.933656050280243,18.692665109027388,274705.0,111889.0,40.73060191842158,62.29633277535102,5.38191607298232,4.837662481063199,34.58,1.0,3.915831961830496
Kern,2022,94.2144370860927,114.98,107.96,111.02,404,755,8,67.86696688741722,84.91999999999999,78.98,153,755,8,22,6,29,6029,"Kern County, California",906883.0,63883.0,170013.0,102703.0,11.324834625855816,18.74696074355788,277499.0,112026.0,40.3698752067575,56.13061442324975,5.173214185291818,4.951465624562375,31.16,0.0,3.8824799221256905
Kern,2023,90.42314186851212,116.96,105.98,109.94,508,1445,15,62.93487214927436,87.08000000000001,75.92,103,1447,15,22,6,29,6029,"Kern County, California",910433.0,67660.0,168825.0,105653.0,11.60469798436568,18.543374416349145,281416.0,113095.0,40.18783580180232,49.2124077224793,5.156447536501863,5.076595422178238,33.46,0.0,3.922572465497208
Kern,2024,96.0663552833078,118.04,109.04,113.0,784,1306,14,66.36772413793103,89.96000000000001,78.98,219,1305,14,36,6,29,6029,"Kern County, California",915075.0,70210.0,170301.0,108560.0,11.863508455591072,18.61060568805836,284931.0,113798.0,39.93879219881305,43.934650165287,5.099254159495124,5.27574242548425,55.44,0.0,3.939962585555704
Kings,2020,96.22247887323944,120.02,105.08,107.96,473,710,6,64.97065502183406,87.08000000000001,77.0,56,687,6,29,6,31,6031,"Kings County, California",151090.0,61556.0,21908.0,15564.0,10.301145012906217,14.49996690714144,43604.0,20236.0,46.4085863682231,63.38209014494672,6.499437421404461,3.723608445297505,21.26,1.0,0.7024265466683185
Kings,2021,98.16963172804532,114.08,107.96,111.02,515,706,6,66.04246771879484,87.08000000000001,78.98,89,697,6,53,6,31,6031,"Kings County, California",151887.0,63267.0,22449.0,15654.0,10.306346165241266,14.780066760157224,43286.0,19676.0,45.45580557224045,56.865301177849325,6.596351234799555,3.863398447530072,32.53,1.0,0.7380638725490318
