countyFips,countyName,year,observedEdRate,summerAvgMax,heatwaveDays,consecutiveHotDays,warmNightCount,tailPercentileTemp,elderlyPct,povertyPct,acCoverage,treeCanopy
06007,Butte,2024,69.3,91.56204379562044,319,15,90,111.92,18.384640911080226,18.80882416594126,61.93,16.74
06009,Calaveras,2020,30.16,79.46098360655738,0,0,0,91.751,28.017805708300603,11.296587239242385,60.52,14.91
06009,Calaveras,2021,34.39,88.35826086956521,31,6,0,104.2808,28.04251471917793,13.99369335597257,59.78,15.63
06009,Calaveras,2022,60.39,87.57354838709678,47,6,0,105.215,28.801944213338004,12.950475106187328,62.63,17.26
06009,Calaveras,2023,,85.69172413793103,39,13,1,105.98,28.74225459289053,13.225350581584957,60.57,16.54
06009,Calaveras,2024,62.55,91.04662576687116,62,14,1,109.7924,29.22720982528974,12.878394741394224,60.16,17.69
06011,Colusa,2020,,94.24237704918032,126,11,2,108.5756,14.62007351914755,11.81890093527523,59.87,16.86
06011,Colusa,2021,54.25,95.57648648648647,135,12,0,109.751,14.55922865013774,12.887970615243344,61.2,16.12
06011,Colusa,2022,55.13,94.87067226890755,139,30,0,113.2808,15.125395442666544,10.83856769519967,60.95,17.42
06011,Colusa,2023,,91.05333333333331,86,14,0,107.58199999999998,15.323133135419043,10.650833523635534,61.02,16.12
06011,Colusa,2024,55.46,95.22444444444444,133,17,0,111.92,15.511280931586608,11.212700145560408,61.05,16.51
06013,Contra Costa,2020,8.91,84.76880753138074,141,7,63,105.98,15.819820384949136,8.104371190498593,76.01,24.06
06013,Contra Costa,2021,9.59,83.67529411764706,130,2,50,104.0,15.84230266958093,8.137009391009114,72.19,24.43
06013,Contra Costa,2022,13.84,83.64824,104,6,51,107.519,16.368410731364953,8.192935437036834,72.03,23.66
06013,Contra Costa,2023,13.06,79.74220843672457,72,2,38,102.02,16.687301650167292,8.183507281365317,71.58,25.35
06013,Contra Costa,2024,14.73,84.65924205378973,147,6,63,105.98,17.10454484589,8.295107689877874,73.72,23.18
06015,Del Norte,2020,,71.02441260744986,3,0,1,93.02,17.78130868120757,15.24989166546295,69.69,21.78
06015,Del Norte,2021,,67.09849372384937,0,0,5,86.66960000000002,17.866570240462845,15.490869643825713,67.83,20.81
06015,Del Norte,2022,,70.10393442622951,3,0,4,93.33500000000002,19.15738110844076,13.054402447017695,66.74,22.17
06015,Del Norte,2023,,69.14913907284769,4,0,3,94.9892,19.75598138716888,10.625435093247352,66.76,21.75
06015,Del Norte,2024,,71.0511475409836,7,0,6,97.35800000000005,20.481794370457816,11.81982513741838,68.98,22.82
06017,El Dorado,2020,15.86,80.6248476992871,165,0,14,104.0,21.23407496913499,8.41524600068297,68.71,21.45
06017,El Dorado,2021,20.26,82.7312568306011,291,2,16,105.08,21.45218504680744,8.602703496914488,68.41,19.15
06017,El Dorado,2022,33.87,80.82435913312693,264,1,30,105.98,22.223323405298544,8.535675723607685,66.6,20.65
06017,El Dorado,2023,17.31,75.36750178954902,104,0,3,104.0,22.78118970977488,8.192450298753503,67.95,19.55
06017,El Dorado,2024,55.63,80.30387096774194,190,0,24,107.06,23.488804227092004,7.933583166374272,67.78,20.2
06019,Fresno,2020,20.07,90.35163412127442,711,6,152,109.04,12.232731841115568,20.42972963146988,66.73,21.39
06019,Fresno,2021,28.28,91.21473128598848,858,8,242,111.92,12.14574091611424,19.816876837960425,67.71,20.52
06019,Fresno,2022,30.51,87.86108651911469,470,10,208,109.04,12.467568532550482,19.208454000872774,66.74,19.18
06019,Fresno,2023,28.84,85.25643105446119,389,11,116,107.96,12.72052023806701,18.348726278266504,67.42,18.87
06019,Fresno,2024,46.41,90.30581932773109,747,13,212,111.92,12.932503872728615,17.99522978189776,66.5,19.91
06021,Glenn,2020,57.45,92.17459016393444,269,9,15,107.96,16.368496079828937,14.971489665003563,60.03,13.9
06021,Glenn,2021,47.52,94.27852459016394,333,19,12,109.94,16.170880557977334,14.89799476896251,60.55,14.45
06021,Glenn,2022,76.31,93.15573770491804,320,22,12,111.83899999999996,16.871968454478836,15.127194053808845,57.41,15.43
06021,Glenn,2023,47.49,89.27127868852459,197,11,29,107.96,16.84659190161758,12.266359221605002,59.12,16.28
06021,Glenn,2024,74.88,93.31231527093595,295,16,31,111.02,17.17203621815119,15.84193163473012,58.89,15.73
06023,Humboldt,2020,13.04,78.26838554216867,135,1,7,104.0,17.84483582045687,19.257757106854463,71.04,21.51
06023,Humboldt,2021,10.7,78.19873273761169,144,0,6,104.75600000000004,18.0762549812428,19.79067832484272,71.59,24.1
06023,Humboldt,2022,15.18,78.12663636363636,177,1,11,105.08,18.869920371404227,19.38853465753828,74.24,23.87
06023,Humboldt,2023,10.1,78.25842105263158,156,2,6,107.06,19.260364205644745,18.508617761302045,70.7,24.21
06023,Humboldt,2024,21.04,79.7643432835821,206,4,17,109.58899999999991,19.81552091927368,18.27472666324764,73.45,25.42
06025,Imperial,2020,66.71,107.78717539863324,846,92,618,119.18840000000002,12.90619116181194,21.269243548565733,55.88,12.22
06025,Imperial,2021,103.31,106.54292275574112,929,115,791,118.94,12.819145686499937,19.833824860733905,57.9,13.69
06025,Imperial,2022,103.85,105.84449438202248,868,100,763,114.98,13.181458753299404,20.098230295470493,58.64,14.87
06025,Imperial,2023,115.94,104.97005202913633,870,67,590,118.94,13.450331532074124,18.79611195690362,59.28,12.7
06025,Imperial,2024,174.73,108.9181038374718,855,107,712,118.94,13.707395034461326,18.767272283326488,59.47,15.76
06027,Inyo,2020,,97.5458904109589,511,59,307,124.79,23.26826547685443,9.73229224762967,59.99,14.93
06027,Inyo,2021,73.15,98.85990751445088,538,30,336,125.96,23.175920017017656,10.577536694320358,58.28,15.41
06027,Inyo,2022,,95.0003785488959,502,31,310,122.9,23.83026183015561,11.678793350682458,58.11,13.99
06027,Inyo,2023,,89.86747663551402,393,21,260,124.5884,24.43227144604585,10.253682922937829,60.09,15.37
06027,Inyo,2024,,95.94930805687204,610,37,333,126.14,24.947969475425584,10.656918725652382,58.51,15.63
06029,Kern,2020,25.21,93.6202277039848,782,17,119,109.94,10.965670093158446,19.709835084676254,62.09,18.43
06029,Kern,2021,34.58,95.84534090909092,964,30,262,111.92,10.933656050280243,18.692665109027388,62.3,18.43
06029,Kern,2022,31.16,94.2144370860927,404,22,153,111.02,11.324834625855816,18.74696074355788,62.62,18.47
06029,Kern,2023,33.46,90.42314186851212,508,22,103,109.94,11.60469798436568,18.543374416349145,64.75,17.34
06029,Kern,2024,55.44,96.0663552833078,784,36,219,113.0,11.863508455591072,18.61060568805836,64.21,18.05
06031,Kings,2020,21.26,96.22247887323944,473,29,56,107.96,10.301145012906217,14.49996690714144,66.64,19.17
06031,Kings,2021,32.53,98.16963172804532,515,53,89,111.02,10.306346165241266,14.780066760157224,64.96,19.7
06031,Kings,2022,26.35,97.8265395095368,261,33,64,111.92,10.471756876372815,14.840507491066452,65.84,20.32
06031,Kings,2023,29.14,93.65973377703828,292,23,49,109.04,10.613753844140549,15.32879670221815,66.54,18.26
06031,Kings,2024,49.1,98.36947899159664,425,37,81,111.92,10.818145050816058,14.559876841185144,65.14,19.19
06033,Lake,2020,30.82,87.81560975609756,207,3,38,105.98,22.846785736511297,17.202377248117493,63.49,18.84
06033,Lake,2021,49.08,89.8739865771812,288,6,73,107.96,22.668969283679463,16.491756335886876,61.81,16.62
